English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
\n                    <strong>Non-cumulative (NC):</strong> Target period results are automatically calculated from data collected during the period. The Life of Program result is the sum of target period values.\n                    ,,\n                    <strong>No acumulativo (NC):</strong> Los resultados del período objetivo se calculan automáticamente a partir de los datos recopilados durante el período. El resultado de la vida del programa es la suma de los valores del período objetivo.\n                    ,,,,,
\n                    <strong>Cumulative (C):</strong> Target period results automatically include data from previous periods. The Life of Program result mirrors the latest period value.\n                    ,,\n                    <strong>Acumulativo (C):</strong> Los resultados del período objetivo incluyen automáticamente datos de períodos anteriores. El resultado de vida del programa refleja el último valor del período.\n                    ,,,,,
\n                    <strong>Cumulative (C):</strong> The Life of Program result mirrors the latest period result. No calculations are performed with results.\n                    ,,\n                    <strong>Acumulativo (C):</strong> El resultado de Vida del Programa (LoP) refleja el último resultado del período. No se realizan cálculos con los resultados.\n                    ,,,,,
Report Options,,Opciones de informe,,,,,
Apply,,Aplicar,,,,,
Change log,,Registro de Cambios,,,,,
"To see program results, please update your periodic targets to match your reporting start and end dates:",,"Para ver los resultados del programa, actualice sus objetivos periódicos para que coincidan con las fechas de inicio y finalización de sus informes:",,,,,
Periodic targets vs. actuals,,Objetivos periódicos frente a datos reales,,,,,
View results organized by target period for indicators that share the same target frequency.,,Ver los resultados organizados por período objetivo para los indicadores que comparten la misma frecuencia objetivo.,,,,,
View Report,,Ver informe,,,,,
View the most recent two months of results. (You can customize your time periods.) This report does not include periodic targets.,,Ver los últimos dos meses de resultados. (Puede personalizar sus períodos de tiempo). Este informe no incluye objetivos periódicos.,,,,,
Pin,,Fijar,,,,,
Life of program,,Vida del programa,,,,,
Change,,Cambio,,,,,
# / %%,,# / %%,,,,,
%% Met,,%% cumplido,,,,,
Pin To Program Page,,Afiler a la página del programa,,,,,
Success! This report is now pinned to the program page.,,¡Satisfactorio! Este informe ahora se encuentra en la página del programa.,,,,,
Visit the program page now.,,Visitar la página del programa ahora.,,,,,
Program details,,Detalles del programa,,,,,
View program in GAIT,,Ver programa en GAIT,,,,,#. Translators: GAIT is the Grant and Award Information Tracker system used by MercyCorps
View program sites,,Ver sitios del programa,,,,,
There are no program sites.,,No existen sitios del programa.,,,,,
Add site,,Agregar sitio,,,,,
Pinned reports,,Informes fijados,,,,,
IPTT:,,IPTT:,,,,,
Create an IPTT report,,Crear un informe de IPTT,,,,,
Reports will be available after the program start date.,,Los informes estarán disponibles a partir de la fecha de inicio del programa.,,,,,
Program setup,,Configuración del programa,,,,,
"\n    Before adding indicators and performance results, we need to know your program's\n    <a\n        class=\""pl-1\""\n        href=\""#\""\n        data-toggle=\""modal\""\n        data-program=\""%(id)s\""\n        data-progstart=\""%(start_date)s\""\n        data-progend=\""%(end_date)s\""\n        data-rptstart=\""%(reporting_period_start)s\""\n        data-rptend=\""%(reporting_period_end)s\""\n        data-target=\""#id_reporting_period_modal\""\n    >reporting start and end dates.</a>\n    ",,"\n    Antes de agregar indicadores y resultados de rendimiento, necesitamos saber las \n    <a\n        class=\""pl-1\""\n        href=\""#\""\n        data-toggle=\""modal\""\n        data-program=\""%(id)s\""\n        data-progstart=\""%(start_date)s\""\n        data-progend=\""%(end_date)s\""\n        data-rptstart=\""%(reporting_period_start)s\""\n        data-rptend=\""%(reporting_period_end)s\""\n        data-target=\""#id_reporting_period_modal\""\n    > fechas de inicio y fin de informes </a>\nde su programa.\n    ",,,,,"#. Translators: The full sentance is: Before adding indicators and performance results, we need to know your program's reporting start and end dates."
Only completed target periods are included in the “indicators on track” calculations.,,Solo los períodos objetivo completos son incluidos en el cálculo de “indicadores encaminados”.,,,,,#. Translators: Explains why some target periods are not included in a certain calculation
Last completed target period,,Último período objetivo completo,,,,,"#. Translators: Given a list of periods spanning months or years, indicates the period with and end date closest to the current date"
Semi-Annual,,Semestral,,,,,#. Translators:  label for the date of the last completed Semi-Annual target period.
Tri-Annual,,Trienal,,,,,#. Translators:  label for the date of the last completed Tri-Annual target period.
"If an indicator only has a Life of Program (LoP) target, we calculate performance after the program end date.",,"Sí un indicador solo tiene un objetivo de Vida del Programa (LoP), el desempeño es calculado después de la fecha de finalización del programa.",,,,,#. Translators: Explains why some target periods are not included in a certain calculation
"For midline/endline and event-based target periods, we begin tracking performance as soon as the first result is submitted.",,"Para períodos objetivo de línea media, final y basados en eventos, se comienza a medir el desempeño tan pronto como el primer resultado es enviado.",,,,,#. Translators: Explains why some target periods are not included in a certain calculation
"This action cannot be undone. The result value and any information associated with it will be permanently removed. For future reference, please provide a reason for deleting this result.",,"Esta acción no puede deshacerse. El valor del resultado y toda información asociada serán eliminados permanentemente. Para referencia futura, indique una justificación para eliminar este resultado.",,,,,
"Modifying results will affect program metrics for this indicator and should only be done to correct a data entry error. For future reference, please provide a reason for modifying this result.",,"Modificar resultados afectará las métricas del programa para este indicador y debe hacerse únicamente para corregir errores de ingreso de datos. Para referencia futura, indique una justificación para modificar este resultado.",,,,,
Please complete all required fields.,,Por favor complete todos los campos requeridos.,,,,,
Result saved - however please review warnings below.,,"Resultado guardado - no obstante, revise las advertencias a continuación.",,,,,
Could not save form.,,No se pudo guardar el formulario.,,,,,
Targets are not set up for this indicator.,,Los objetivos no están configurados para este indicador.,,,,,
Start by selecting a target frequency.,,Comience seleccionando una frecuencia objetivo.,,,,,
This date falls outside the range of your target periods. Please select a date between ,,Esta fecha queda fuera del rango de sus períodos objetivo. Por favor seleccione una fecha entre ,,,,,
Please select a target.,,Por favor seleccione un objetivo.,,,,,#. Translators: This is error message is triggered with midline/endline or event target frequencies when user tries to submit data without selecting a target period.
Please enter a valid date.,,Por favor ingrese una fecha válida.,,,,,
You can begin entering results on,,Puede comenzar a ingresar resultados el,,,,,
Please select a date between,,Por favor seleccione una fecha entre,,,,,
A link must be included along with the record name.,,Debe incluir un enlace junto al nombre del registro.,,,,,
Result,,Resultado,,,,,
Evidence,,Evidencia,,,,,
Link this result to a record or folder of records that serves as evidence.,,Vincule este resultado a un registro o carpeta de registros que sirva de evidencia.,,,,,
Delete this result,,Eliminar este resultado,,,,,
Target period,,Período objetivo,,,,,
Program to date,,Programa a la fecha,,,,,
View project,,Ver proyecto,,,,,
No results reported,,No se han reportado resultados,,,,,
View Project,,Ver proyecto,,,,,
Results are cumulative. The Life of Program result mirrors the latest period result.,,Los resultados son acumulativos. El resultado de la vida del programa refleja el último resultado del período.,,,,,
Results are non-cumulative. The Life of Program result is the sum of target periods results.,,Los resultados no son acumulativos. El resultado de la vida del programa es la suma de los resultados de los períodos objetivo.,,,,,
Results are non-cumulative. Target period and Life of Program results are calculated from the average of results.,,Los resultados no son acumulativos. Los resultados del período objetivo y de Vida del Programa se calculan a partir del promedio de los resultados.,,,,,
\n                        This record is not associated with a target. Open the data record and select an option from the “Measure against target” menu.\n                        ,,"\n                        Este registro no está asociado con un objetivo. Abra el registro de datos y seleccione una opción del menú \""Medida contra el objetivo \"".\n                        ",,,,,
\n                        This date falls outside the range of your target periods. Please select a date between %(reporting_period_start)s and %(reporting_period_end)s.\n                        ,,\n                        Esta fecha queda fuera del rango de sus períodos objetivo. Por favor seleccione una fecha entre %(reporting_period_start)s y %(reporting_period_end)s.\n                        ,,,,,
Add result,,Agregar resultado,,,,,
This indicator has no targets.,,Este indicador no tiene objetivos.,,,,,
Add targets,,Agregar objetivos,,,,,
"This date determines where the result appears in indicator performance tracking tables. If data collection occurred within the target period, we recommend entering the last day you collected data. If data collection occurred after the target period ended, we recommend entering the last day of the <i>target period in which you want the result to appear.</i>",,"Esta fecha determina donde aparece el resultado en las tablas de seguimiento del rendimiento del indicador. Si hubo recolección de datos durante el período objetivo, recomendamos ingresar el último día en que recolectó datos. Si la recolección de datos se realizó después de finalizado el período objetivo, recomendamos ingresar el último día del <i>período objetivo en que quiera que aparezcan los resultados</i>",,,,,
All results for this indicator will be measured against the Life of Program (LoP) target.,,Todos los resultados para este indicador serán medidos contra el objetivo de Vida del Programa (LoP).,,,,,
The target is automatically determined by the result date.,,El objetivo se determina automáticamente en base a la fecha del resultado.,,,,,
You can measure this result against the Midline or Endline target.,,Puede medir este resultado contra el objetivo de línea media o final.,,,,,
Standard disaggregation levels not entered,,Niveles de desagregación estándar no ingresados,,,,,
"Standard disaggregations are entered by the administrator for the entire organizations.  If you are not seeing any here, please contact your system administrator.",,"El administrador introduce las desagregaciones estándar para todas las organizaciones. Si no ve ninguna aquí, contáctese con el administrador del sistema.",,,,,
Sex and Age Disaggregated Data (SADD),,Datos desagregados de género y edad (SADD),,,,,
Disaggregation level,,Nivel de desagregación,,,,,
Custom disaggregations,,Desagregaciones personalizadas,,,,,
"Provide a link to a file or folder in Google Drive or another shared network drive. Please be aware that TolaActivity does not store a copy of your record, <i>so you should not link to something on your personal computer, as no one else will be able to access it.</i>",,"Facilite un enlace a un archivo o carpeta en Google Drive o algún otro recurso compartido en la red. Tenga en cuenta que TolaActivity no almacena copias de su registro, <i>por ello no debería referenciar algo en su computadora personal, ya que nadie más podría accederlo.</i>",,,,,
view,,ver,,,,,
Browse Google Drive,,Ver Google Drive,,,,,
Give your record a short name that is easy to remember.,,Dé a su registro un nombre corto que sea fácil de recordar.,,,,,
Indicators on track,,Indicadores encaminados,,,,,
\n                    %(unavailable)s%% unavailable\n                    ,,\n                     %(unavailable)s%% no disponible\n                    ,,,,,#. Translators: variable unavailable shows what percentage of indicators have no targets reporting data. Example: 31% unavailable
"The indicator has no targets, no completed target periods, or no results reported.",,"El indicador no tiene objetivos, ni períodos objetivo completos o no se informan resultados.",,,,,#. Translators: help text for the percentage of indicators with no targets reporting data.
\n                        <strong>%(high)s%%</strong> are &gt;%(margin)s%% above target\n                        ,,\n                        <strong>%(high)s%%</strong> están &gt;%(margin)s%% por encima del objetivo\n                        ,,,,,#. Translators: variable high shows what percentage of indicators are a certain percentage above target. Example: 31% are >15% above target
\n                        <strong>%(on_scope)s%%</strong> are on track\n                        ,,\n                        <strong>%(on_scope)s%%</strong> están encaminados\n                        ,,,,,#. Translators: variable on_scope shows what percentage of indicators are within a set range of target. Example: 31%  are on track
"The actual value matches the target value, plus or minus 15%%. So if your target is 100 and your result is 110, the indicator is 10%% above target and on track.  <br><br>Please note that if your indicator has a decreasing direction of change, then “above” and “below” are switched. In that case, if your target is 100 and your result is 200, your indicator is 50%% below target and not on track.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>See our documentation for more information.</a>",,"El valor real coincide con el valor objetivo, más o menos 15%%. Entonces, si su objetivo es 100 y su resultado es 110, el indicador está 10%% por encima del objetivo y está encaminado.   <br><br>Tenga en cuenta que si su indicador tiene una dirección de cambio decreciente, entonces se transponen “arriba” y “abajo”. En ese caso, si su objetivo es 100 y su resultado es 200, su indicador está 50%% por debajo del objetivo y no está encaminado.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>Vea nuestra documentación para mayor información.</a>",,,,,"#. Translators: Help text explaining what an ""on track"" indicator is."
\n                        <strong>%(low)s%%</strong> are &gt;%(margin)s%% below target\n                        ,,\n                        <strong>%(low)s%%</strong> están &gt;%(margin)s%% por debajo del objetivo\n                        ,,,,,#. Translators: variable low shows what percentage of indicators are a certain percentage below target. The variable margin is that percentage. Example: 31% are >15% below target
Unavailable until the first target period ends with results reported.,,No disponible hasta finalizar el primer período objetivo con informe de resultados.,,,,,#. Translators: message describing why this display does not show any data.
"\n            <a\n                id=\""id_link_reporting_period_%(program.id)s\""\n                class=\""\""\n                href=\""#\""\n                data-toggle=\""modal\""\n                data-program=\""%(program.id)s\""\n                data-progstart=\""%(program.start_date)s\""\n                data-progend=\""%(program.end_date)s\""\n                data-rptstart=\""%(program.reporting_period_start)s\""\n                data-rptend=\""%(program.reporting_period_end)s\""\n                data-target=\""#id_reporting_period_modal\""\n                data-read-only=\""%(read_only)s\"">\n                Program period\n            </a>\n            is <br><strong class=\""text-dark\"">%(program.percent_complete)s%% complete</strong>\n        ",,"\n            <a\n                id=\""id_link_reporting_period_%(program.id)s\""\n                class=\""\""\n                href=\""#\""\n                data-toggle=\""modal\""\n                data-program=\""%(program.id)s\""\n                data-progstart=\""%(program.start_date)s\""\n                data-progend=\""%(program.end_date)s\""\n                data-rptstart=\""%(program.reporting_period_start)s\""\n                data-rptend=\""%(program.reporting_period_end)s\""\n                data-target=\""#id_reporting_period_modal\"">\n                El período del programa\n            </a>\n            está <br><strong class=\""text-dark\"">%(program.percent_complete)s%% completado</strong>\n        ",,,"#| msgid """"#| ""\n""#| ""            <a\n""#| ""                id=\""id_link_reporting_period_%(program.id)s\""\n""#| ""                class=\""\""\n""#| ""                href=\""#\""\n""#| ""                data-toggle=\""modal\""\n""#| ""                data-program=\""%(program.id)s\""\n""#| ""                data-progstart=\""%(program.start_date)s\""\n""#| ""                data-progend=\""%(program.end_date)s\""\n""#| ""                data-rptstart=\""%(program.reporting_period_start)s\""\n""#| ""                data-rptend=\""%(program.reporting_period_end)s\""\n""#| ""                data-target=\""#id_reporting_period_modal\"">\n""#| ""                Program period\n""#| ""            </a>\n""#| ""            is <br><strong class=\""text-dark\"">""#| ""%(program.percent_complete)s%% complete</strong>\n""#| ""        """,Fuzzy,
\n            <p><strong>The actual value is %(percent_met)s%% of the target value.</strong> An indicator is on track if the result is no less than 85%% of the target and no more than 115%% of the target.</p>\n            <p><em>Remember to consider your direction of change when thinking about whether the indicator is on track.</em></p>\n            ,,"\n            <p><strong>El valor actual es del %(percent_met)s%% del cumplimiento del objetivo.</strong> Un indicador se considerará de acuerdo a lo planificado cuando el valor oscile entre no menos del 85%% y no más del 115%% de consecución de dicho objetivo.</p>\n            <p><em> Si el complimiento del objetivo esta fuera de esos parámetros, considere la dirección y/o el cambio del mismo.</em></p>\n            ",,,,,#. Translators: Explains how performance is categorized as close to the target or not close to the target
An error occured while logging in with your Okta account.,,Hubo un error durante el inicio de sesión con su cuenta Okta.,,,,,
Please contact the TolaData team for assistance.,,Contacte al equipo TolaData para obtener asistencia.,,,,,
This Gmail address is not associated with a TolaActivity user account.,,Esta dirección de Gmail no está asociada con una cuenta de usuario de TolaActivity.,,,,,
You can request an account from your TolaData administrator.,,Puede solicitar una cuenta a su administrador TolaData.,,,,,
\n        <h1><small>Welcome to</small> TolaActivity</h1>\n        ,,\n        <h1><small>Bienvenido a</small> TolaActivity</h1>\n        ,,,,,
"\n        <i class=\""fas fa-sign-in-alt\""></i><small>Log in with a <strong>mercycorps.org</strong> email address</small>\n        ",,"\n        <i class=\""fas fa-sign-in-alt\""></i><small>Ingresar con una dirección de correo electrónico de <strong>mercycorps.org</strong></small>\n        ",,,,,#. Translators: a button directing Mercy Corps users to log in
"\n        <i class=\""fa fa-sign-in-alt\""></i><small>Log in with <strong>Gmail</strong></small>\n        ",,"\n        <i class=\""fa fa-sign-in-alt\""></i><small>Ingresar con <strong>Gmail</strong></small>\n        ",,,,,#. Translators: a button directing users to log in with Gmail
Log in with a username and password,,Ingresar con usuario y contraseña,,,,,
"\n                <p>Please enter a correct username and password. Note that both fields may be case-sensitive. Did you forget your password? <a href=\""%(password_reset_url)s\"">Click here to reset it.</a></p>\n                ",,"\n                <p>Ha ingresado una usuario o contraseña incorrecto. Tenga en cuenta que los campos diferencian mayúsculas y minúsculas. ¿Olvidó su contraseña? <a href=\""%(password_reset_url)s\"">Siga este enlace para restaurarla.</a></p>\n                ",,,,,
Need help logging in?,,¿Necesita ayuda para ingresar?,,,,,
"\n            Contact your TolaData administrator or <a href=\""mailto:tola@mercycorps.org\"">email the TolaData team.</a>\n            ",,"\n            Contacte a su administrador TolaData o <a href=\""mailto:tola@mercycorps.org\"">escriba un correo electrónico al equipo TolaData.</a>\n            ",,,,,
Password changed,,Se ha modificado la contraseña,,,,,
"\n    <p>Your password has been changed.</p>\n    <p><a href=\""%(login_url)s\"" class=\""btn btn-primary\"">Log in</a></p>\n    ",,"\n    <p>Se ha modificado la contraseña.</p>\n    <p><a href=\""%(login_url)s\"" class=\""btn btn-primary\"">Iniciar sesión</a></p>\n    ",,,,,
Reset password,,Restaurar contraseña,,,,,
Submit,,Enviar,,,,,
Password reset email sent,,Correo electrónico de restauración de contraseña enviado,,,,,
"\n    <p>We’ve sent an email to the address you’ve provided.</p>\n\n    <h4>If you didn’t receive an email, please try the following:</h4>\n\n    <ul>\n        <li>Check your spam or junk mail folder.</li>\n        <li>Verify that you entered your email address correctly.</li>\n        <li>Verify that you entered the email address associated with your TolaActivity account.</li>\n    </ul>\n\n    <h4>If you are using a mercycorps.org address to log in:</h4>\n    <p>Return to the <a href=\""%(login_url)s\"">log in page</a> and click <strong>Log in with a mercycorps.org email address.</strong></p>\n\n    <h4>If you are using a Gmail address to log in:</h4>\n    <p>Return to the <a href=\""%(login_url)s\"">log in page</a> and click <strong>Log in with Gmail.</strong> <em>We cannot reset your Gmail password.</em></p>\n    ",,"\n    <p>Hemos enviado un correo electrónico a la dirección que nos ha proporcionado.</p>\n\n    <h4>Si no ha recibido el correo, intente lo siguiente:</h4>\n\n    <ul>\n        <li>Revise su carpeta de Spam o Correo No Deseado.</li>\n        <li>Verifique haber ingresado su dirección de correo electrónico correctamente.</li>\n        <li>Verifique haber ingresado la dirección de correo electrónico asociada a su cuenta TolaActivity.</li>\n    </ul>\n\n    <h4>Si utiliza una dirección mercycorps.org para ingresar:</h4>\n    <p>Regrese a la <a href=\""%(login_url)s\"">página de inicio de sesión</a> y haga clic en <strong>Ingresar con una dirección de correo electrónico de mercycorps.org.</strong></p>\n\n    <h4>Si utiliza una dirección de Gmail address para ingresar:</h4>\n    <p>Regrese a la <a href=\""%(login_url)s\"">página de inicio de sesión</a> y haga clic en <strong>Iniciar con Gmail.</strong> <em>No podemos restaurar su contraseña de Gmail.</em></p>\n    ",,,,,
"\nSomeone has requested that you change the password associated with the username %(user)s on the Mercy Corps Tola Activity application. This usually happens when you click the “forgot password” link.\n\nIf you did not request a new password, you can ignore this email.\n\nIf you want to change your password, please click the following link and choose a new password:\n",,"\nAlguien ha solicitado restaurar la contraseña asociada al usuario %(user)s de la aplicación Tola Activity de Mercy Corps. Esto sucede cuando hace clic en el link \""Olvidé mi contraseña\"".\n\nSi usted no solicitó restaurar la contraseña, puede ignorar este correo electrónico.\n\nSi desea restaurar su contraseña, siga este enlace para elegir una nueva contraseña:\n",,,,,
"\nYou can also copy and paste this link into the address bar of your web browser.\n\nThank you,\nThe Mercy Corps team\n",,"\nTambién puede copiar y pegar este enlace en la barra de direcciones de su navegador de Internet.\n\nMuchas gracias,\nEl equipo de Mercy Corps\n",,,,,
Use this form to send an email to yourself with a link to change your password.,,Utilice este formulario para enviarse un correo electrónico con un enlace que le permita restaurar su contraseña.,,,,,
Project Site,,Sitio del proyecto,,,,,
Collected Indicator Data Site,,Sitio de datos del indicador recopilados,,,,,
Warning: This may be a badly formatted web address. It should be something like https://domain.com/path/to/file or https://docs.google.com/spreadsheets/d/OIjwljwoihgIHOEies,,Advertencia: Esta dirección web podría tener un formato incorrecto. Debería ser algo como ‘https://dominio.com/camino/al/archivo’ o ‘https://docs.google.com/spreadsheets/d/OIjwljwoihgIHOEies’,,,,,
Warning: The file you are linking to should be on external storage. The file path you provided looks like it might be on your local hard drive.,,Advertencia: El archivo al que se está vinculando debe estar en almacenamiento externo. La ruta del archivo que proporcionó parece que podría estar en su disco duro local.,,,,,
Warning: You should be providing a location or path to a file that is not on your hard drive.  The link you provided does not appear to be a file path or web link.,,Advertencia: Debe proporcionar una ubicación o ruta a un archivo que no se encuentra en su disco duro. El enlace que proporcionó no parece ser una ruta de archivo o un enlace web.,,,,,
Delete Documentation,,Borrado de Documentación,,,,,
Something went wrong!,,¡Algo salió mal!,,,,,
Documentation Delete,,Borrado de Documentación,,,,,
Are you sure you want to delete,,¿Está seguro que quiere eliminarlo,,,,,
Cancel,,Cancelar,,,,,
Document Confirm Delete,,Confirmación de Borrado de Documento,,,,,
"Are you sure you want to delete \""%(object)s\""?",,"¿Está seguro que quiere eliminar \""%(object)s\""?",,,,,
Confirm,,Confirmar,,,,,
Document,,Documento,,,,,
Please complete this field,,Por favor complete este campo,,,,,
Documentation for %(project)s,,Documentación para %(project)s,,,,,
Close,,Cerrar,,,,,
Documentation List for %(program)s ,,Lista de documentación para %(program)s  ,,,,,
Document Name,,Nombre del Documento,,,,,
Add to Project,,Agregar a proyecto,,,,,
No Documents.,,No hay Documentos.,,,,,
Filter by:,,Filtrar por:,,,,,
Project Status,,Estado del Proyecto,,,,,
Initiation Form,,Formulario de Iniciación,,,,,
Tracking Form,,Formulario de Seguimiento,,,,,
Print View,,Vista de impresión,,,,,
Short,,Corto,,,,,
Long,,Largo,,,,,
Project Dashboard,,Tablero del proyecto,,,,,
Filtered by <b>(Status): %(status|default_if_none:'')s</b>,,Filtrado por <b>(Estado):%(status|default_if_none:'')s</ b>,,,,,
Filtered by <b>(Program): %(filtered_program|default_if_none:'')s</b>,,Filtrado por <b>(Programa): %(filtered_program|default_if_none:'')s</ b>,,,,,
Program Dashboard,,Tablero del programa,,,,,
Date Created,,Fecha de creacion,,,,,
Project Name,,Nombre del proyecto,,,,,
Project Code,,Código de proyecto,,,,,
Office Code,,Código de oficina,,,,,
Form Version,,Versión del formulario,,,,,
Approval Status,,Estado de aprobación,,,,,
No in progress projects.,,Sin proyectos en progreso.,,,,,
No approved projects yet.,,Sin proyectos aprobados todavía.,,,,,
No projects awaiting approval.,,Sin proyectos esperando aprobación.,,,,,
No rejected projects.,,Sin proyectos rechazados.,,,,,
No New projects.,,Sin proyectos Nuevos.,,,,,
No projects yet.,,Sin proyectos todavía.,,,,,
No Programs,,Sin programas,,,,,
Project initiation form,,Formulario de iniciación del proyecto,,,,,
Project Initiation Form,,Formulario de iniciación del proyecto,,,,,
Project tracking form,,Formulario de seguimiento del proyecto,,,,,
Add a project,,Agregar un proyecto,,,,,
Name your new project and associate it with a program,,Nombre su nuevo proyecto y asócielo con un programa,,,,,
Project name,,Nombre del proyecto,,,,,
Use short form?,,¿Utilizar forma abreviada?,,,,,
recommended,,recomendado,,,,,
Site Data,,Datos del Sitio,,,,,
Indicator Data for <small>%(site)s</small>,,Datos del indicador para <small>%(site)s </ small>,,,,,
Achieved,,Logrado,,,,,
Site Profile Map and List,,Mapa y lista de perfil del sitio,,,,,
Date created,,Fecha de creacion,,,,,
Site name,,Nombre del sitio,,,,,
Site type,,Tipo de Sitio,,,,,
Province,,Provincia,,,,,
District,,Distrito,,,,,
Active,,Activo,,,,,
Inactive,,Inactivo,,,,,
Delete site,,Borrar sitio,,,,,
Indicator data,,Datos del indicador,,,,,
Project data,,Datos del proyecto,,,,,
No Site Profiles yet.,,No hay Perfiles de Sitio todavía.,,,,,
results per page:,,resultados por página:,,,,,#. Translators: Shows the user how many results will be listed on each page of the results list
Village,,Pueblo,,,,,
Report,,Informe,,,,,
Update Sites,,Actualizar Sitios,,,,,
No sites yet.,,No hay sitios todavía.,,,,,
Site Projects,,Proyectos del Sitio,,,,,
Project Data for <small>%(site)s</small>,,Datos del proyecto para <small>%(site)s</ small>,,,,,
Confirm Delete,,Confirmar eliminación,,,,,
Stakeholder,,Parte interesada,,,,,
Program or country,,Programa o país,,,,,
No results found,,No se encontraron resultados,,,,,
Personal info,,Información personal,,,,,
Important dates,,Fechas importantes,,,,,
Language,,Idioma,,,,,
Form Errors,,Errores en el Formulario,,,,,
English,,Inglés,,,,,
French,,Francés,,,,,
Spanish,,Español,,,,,
Program does not have a GAIT id,,El programa no tiene un identificador GAIT,,,,,
There was a problem connecting to the GAIT server.,,Hubo un problema al conectarse al servidor GAIT.,,,,,#. Translators: There was a network or server error trying to reach the GAIT service
The GAIT ID {gait_id} could not be found.,,El identificador GAIT {gait_id} no se encontró.,,,,,#. Translators: A request for {gait_id} to the GAIT server returned no results
You are not logged in.,,No ha iniciado sesión.,,,,,
Your profile has been updated.,,Su perfil se ha actualizado.,,,,,
Modification Date,,Fecha de Modificación,,,,,
Modification Type,,Tipo de Modificación,,,,,
Title,,Título,,,,,
First Name,,Nombre,,,,,
Last Name,,Apellido,,,,,
Username,,Nombre de usuario,,,,,
Mode of Address,,Nombre o apodo preferido,,,,,
Mode of Contact,,Forma de Contacto Preferida,,,,,
Phone Number,,Número Telefónico,,,,,
Email,,Correo electrónico,,,,,
Organization,,Organización,,,,,
Is Active,,Activo,,,,,
User Created,,Creacion de Usuario,,,,,
User Programs Updated,,Actualización de los Programas del Usuario,,,,,
User Profile Updated,,Actualización de Perfil,,,,,
Unit of Measure,,Unidad de medida,,,,,
Unit of Measure Type,,Tipo de Unidad de medida,,,,,
Is Cumulative,,Acumulativo,,,,,
Rationale for Target,,Justificación del objetivo,,,,,
Baseline N/A,,Línea de base N/A,,,,,
Evidence Url,,URL de la Evidencia,,,,,
Evidence Name,,Nombre de la Evidencia,,,,,
Date,,Fecha,,,,,
Start Date,,Fecha de inicio,,,,,
End Date,,Fecha de fin,,,,,
Indicator Created,,Indicador Creado,,,,,
Indicator Changed,,Indicador Modificado,,,,,
Indicator Deleted,,Indicador Eliminado,,,,,
Result Changed,,Resultado Cambiado,,,,,
Result Created,,Resultado Creado,,,,,
Result Deleted,,Resultado Eliminado,,,,,
Program Dates Changed,,Fechas de Programa Cambiadas,,,,,
Percentage,,Porcentaje,,,,,
GAIT ID,,ID GAIT,,,,,
Funding Status,,Estado de financiamiento,,,,,
Cost Center,,Centro de Costos,,,,,
Program Created,,Programa Creado,,,,,
Program Updated,,Programa Actualizado,,,,,
Primary Address,,Dirección Principal,,,,,
Primary Contact Name,,Nombre de Contacto Principal,,,,,
Primary Contact Email,,Dirección de Correo Electrónico de Contacto Principal,,,,,
Primary Contact Phone,,Teléfono de Contacto Principal,,,,,
Organization Created,,Organización Creada,,,,,
Organization Updated,,Organización Actualizada,,,,,
Date and Time,,Fecha y Hora,,,,,
User,,Usuario,,,,,
Change Type,,Tipo de Cambio,,,,,"#. Translators: Part of change log, indicates the type of change being made to a particular piece of data"
Previous Entry,,Datos Anteriores,,,,,"#. Translators: Part of change log, shows what the data looked like before the changes"
New Entry,,Nuevos Datos,,,,,"#. Translators: Part of change log, shows what the data looks like after the changes"
Rationale,,Justificación del cambio,,,,,"#. Translators: Part of change log, reason for the change as entered by the user"
Mercy Corps - Tola New Account Registration,,Este campo debe ser único,,,,,
This field must be unique,,Este campo debe ser único,,,,,
Only superusers can create Mercy Corps staff profiles.,,Solo los super-usuarios pueden crear perfiles de personal de Mercy Corps.,,,,,
Only superusers can edit Mercy Corps staff profiles.,,Solo los super-usuarios pueden modificar perfiles de personal de Mercy Corps.,,,,,
Find a city or village,,Encontrar una ciudad o pueblo,,,,,
Projects in this Site,,Proyectos en este Sitio,,,,,
Activity Code,,Código de Actividad,,,,,
View,,Ver,,,,,
Profile,,Perfil,,,,,
Contact Info,,Información de Contacto,,,,,
Location,,Ubicación,,,,,
Places,,Lugares,,,,,
Map,,Mapa,,,,,
Demographic Information,,Información Demográfica,,,,,
Households,,Hogares,,,,,
Land,,Tipo de tierra,,,,,
Literacy,,Alfabetización,,,,,
Demographic Info Data Source,,Origen de los Datos de Información Demográfica,,,,,
Date of First Contact,,Fecha del primer contacto,,,,,
Search,,Buscar,,,,,
Agency name,,Nombre de agencia,,,,,
Agency url,,URL de la agencia,,,,,
Tola report url,,URL del informe Tola,,,,,
Tola tables url,,URL de las tablas Tola,,,,,
Tola tables user,,Usuario de las tablas Tola,,,,,
Tola tables token,,Token de las tablas Tola,,,,,
Privacy disclaimer,,Exención de responsabilidad sobre la privacidad,,,,,
Created,,Creado,,,,,
Updated,,Actualizado,,,,,
